OFFENSE,BLOCK_GROUP,COUNT,BG_ID
ASSAULT W/DANGEROUS WEAPON,010200 1,10,A102001
ASSAULT W/DANGEROUS WEAPON,010200 2,33,A102002
ASSAULT W/DANGEROUS WEAPON,010300 1,3,A103001
ASSAULT W/DANGEROUS WEAPON,010300 2,9,A103002
ASSAULT W/DANGEROUS WEAPON,010300 3,2,A103003
ASSAULT W/DANGEROUS WEAPON,010400 1,103,A104001
ASSAULT W/DANGEROUS WEAPON,010400 2,142,A104002
ASSAULT W/DANGEROUS WEAPON,010500 1,30,A105001
ASSAULT W/DANGEROUS WEAPON,010500 2,2,A105002
ASSAULT W/DANGEROUS WEAPON,010600 1,11,A106001
ASSAULT W/DANGEROUS WEAPON,010600 2,108,A106002
ASSAULT W/DANGEROUS WEAPON,010600 3,9,A106003
ASSAULT W/DANGEROUS WEAPON,010700 1,96,A107001
ASSAULT W/DANGEROUS WEAPON,010700 2,73,A107002
ASSAULT W/DANGEROUS WEAPON,010800 1,12,A108001
ASSAULT W/DANGEROUS WEAPON,010800 2,12,A108002
ASSAULT W/DANGEROUS WEAPON,010800 3,2,A108003
ASSAULT W/DANGEROUS WEAPON,010900 1,50,A109001
ASSAULT W/DANGEROUS WEAPON,010900 2,62,A109002
ASSAULT W/DANGEROUS WEAPON,011000 1,4,A110001
ASSAULT W/DANGEROUS WEAPON,011000 3,4,A110003
ASSAULT W/DANGEROUS WEAPON,011000 4,13,A110004
ASSAULT W/DANGEROUS WEAPON,011100 1,82,A111001
ASSAULT W/DANGEROUS WEAPON,011100 2,46,A111002
ASSAULT W/DANGEROUS WEAPON,011100 3,79,A111003
HOMICIDE,000202 1,1,A002021
HOMICIDE,000202 2,1,A002022
HOMICIDE,000202 4,1,A002024
HOMICIDE,000400 2,5,A004002
HOMICIDE,000702 1,1,A007021
HOMICIDE,001500 1,1,A015001
HOMICIDE,001702 1,1,A017021
HOMICIDE,001702 2,1,A017022
HOMICIDE,001803 1,1,A018031
HOMICIDE,001804 1,1,A018041
HOMICIDE,001804 3,1,A018043
HOMICIDE,001901 3,1,A019013
HOMICIDE,001901 4,1,A019014
HOMICIDE,001902 1,1,A019021
HOMICIDE,002001 1,2,A020011
HOMICIDE,002002 2,3,A020022
HOMICIDE,002002 3,2,A020023
HOMICIDE,002101 2,2,A021012
HOMICIDE,002101 4,4,A021014
HOMICIDE,002101 5,1,A021015
HOMICIDE,002102 4,1,A021024
HOMICIDE,002201 1,3,A022011
HOMICIDE,002201 2,2,A022012
HOMICIDE,002202 2,2,A022022
HOMICIDE,002301 1,1,A023011
